No.,Barcode Number,Brand Name,Product Description,Category Name,Dosage Form,Manufacturer,Batch Number,Manufacturing Date,Expiry Date,Quantity in Stock,Supplier,Date Received
58,6161116480644,scabion ,Scabion lotion crotamiton+sulphur,Anti-Scabis,As prescribed by physician,atco laboratories ltd,gl105k,Aug-24,Jul-27,3,Ilara Health,
59,6161116480149,Scospan,SCOSPAN INJECTION 20MG/ML 10PIECES,Muscle relaxant,As directed by physician,TIANJIN KINGYORK GROUP HUBEI,2404191,Apr-24,Mar-27,2,Ilara Health,
60,6161116480293,spandex and stretched,crepe bandage 15cm*4.5m 12pcs,NON PHARMACEUTICALS,As prescribed by physician,NANTONG JIANAN MEDICAL PRODUCTS LTD,cob250205,Feb-25,Feb-30,1,Bridgewell Diagnostic Supplies,
61,6161116480675,spandex and stretched,crepe bandage 5cm*4.5m 12pcs,NON PHARMACEUTICALS,As prescribed by physician,NANTONG JIANAN MEDICAL PRODUCTS LTD,COB250205,Feb-25,Feb-30,1,Bridgewell Diagnostic Supplies,
62,6161116480323,SURGIBLADE,sterile surgical blades 100pcs,NON PHARMACEUTICALS,As prescribed by physician,SHANGHAI CHANNELMED LTD,24513,Dec-24,Dec-29,1,Bridgewell Diagnostic Supplies,
63,6161116480187,Tegretol,TEGRETOL 200MG 50 TABLETS,Anti-Depressant,As directed by physician,SWISSMEDIC N 29789,TJMP7,Oct-24,Sep-26,1,Ilara Health,
64,8906143080291,theomox-250,amoxillin capsules usp 250mg,Anti-biotic,As prescribed by physician,theon pharmaceuticals ltd,ebc250003,Feb-25,Jan-28,2,Ilara Health,
65,8906143080263,Theomox-500,THEOMOX-500  Amoxicillin Capsules USP 500MG 100CAPSULES,Anti-biotic,As directed by physician,THEON PHARMACEUTICALS LTD,EBC240029,Dec-24,Nov-27,3,Ilara Health,
66,6161116480576,Vitamin B,VITAMIN B COMPLEX INJECTION,SUPPLEMENT,As directed by physician,LABORATE PHARMACEUTICALINDIA LTD,OVBIE-007,Nov-24,Oct-27,1,Ilara Health,
67,6161116480545,Xtrazid,XTRAZID CEFTAZIDIME 1G IM/IV,IV/IM ANTIBIOTICS,As directed by physician,SURGE LABOROTORIES LTD,XT3-065F,Mar-24,Mar-26,10,Ilara Health,
68,6161116480156,Zefcolin,ZEFCOLIN SYRUP 100ML DRY COUGH,Cough Syrup,As directed by physician,THE MADRAS PHARMACEUTICALS,ME24L0052,Nov-24,Oct-26,2,Ilara Health,
69,6161116480231,Zomep-Es 40,"ZOMEP-ES 40, 30TABLETS",Anti-Acid,As directed by physician,ZOTA HEALTHCARE LTD,EP24006,Jan-24,Dec-26,1,Ilara Health,
70,6161116480217,Zytee RB,"ZYTEE RB 10MLS,ANTISEPTIC PAIN GEL",Antiseptic,As directed by physician,"RAPTAKOS, BRETT & CO.LTD",DT24009B,Mar-24,Feb-27,2,Ilara Health,
